cell_index,cell_id,annotation,x,y,time,embedding_index
0,147_104,Cavity,104,-147,1,88
1,147_105,Cavity,105,-147,1,90
2,147_106,Cavity,106,-147,1,95
3,147_107,Cavity,107,-147,1,125
4,147_108,Mesenchyme,108,-147,1,91
5,147_109,Mesenchyme,109,-147,1,43
6,147_110,Mesenchyme,110,-147,1,111
7,147_111,Mesenchyme,111,-147,1,88
8,147_112,Mesenchyme,112,-147,1,91
9,147_113,Mesenchyme,113,-147,1,95
10,147_114,Mesenchyme,114,-147,1,111
11,147_115,Mesenchyme,115,-147,1,111
12,147_116,Mesenchyme,116,-147,1,91
13,147_117,Mesenchyme,117,-147,1,111
14,147_118,Mesenchyme,118,-147,1,90
15,147_119,Mesenchyme,119,-147,1,111
16,147_120,Mesenchyme,120,-147,1,95
17,147_121,Mesenchyme,121,-147,1,90
18,147_122,Mesenchyme,122,-147,1,88
19,147_123,Cavity,123,-147,1,88
20,147_124,Cavity,124,-147,1,90
21,147_125,Cavity,125,-147,1,88
22,147_126,Cavity,126,-147,1,88
23,147_127,Cavity,127,-147,1,88
24,148_100,Mesenchyme,100,-148,1,111
25,148_101,Mesenchyme,101,-148,1,125
26,148_102,Mesenchyme,102,-148,1,106
27,148_103,Mesenchyme,103,-148,1,111
28,148_104,Mesenchyme,104,-148,1,111
29,148_105,Mesenchyme,105,-148,1,106
30,148_106,Mesenchyme,106,-148,1,111
31,148_107,Mesenchyme,107,-148,1,111
32,148_108,Mesenchyme,108,-148,1,106
33,148_109,Mesenchyme,109,-148,1,111
34,148_110,Mesenchyme,110,-148,1,111
35,148_111,Mesenchyme,111,-148,1,111
36,148_112,Mesenchyme,112,-148,1,111
37,148_113,Mesenchyme,113,-148,1,111
38,148_114,Mesenchyme,114,-148,1,111
39,148_115,Mesenchyme,115,-148,1,111
40,148_116,Mesenchyme,116,-148,1,111
41,148_117,Mesenchyme,117,-148,1,111
42,148_118,Mesenchyme,118,-148,1,111
43,148_119,Mesenchyme,119,-148,1,111
44,148_120,Mesenchyme,120,-148,1,111
45,148_121,Mesenchyme,121,-148,1,111
46,148_122,Mesenchyme,122,-148,1,111
47,148_123,Cavity,123,-148,1,90
48,148_124,Mesenchyme,124,-148,1,111
49,148_125,Mesenchyme,125,-148,1,91
50,148_126,Mesenchyme,126,-148,1,111
51,148_127,Mesenchyme,127,-148,1,111
52,148_128,Mesenchyme,128,-148,1,111
53,148_129,Mesenchyme,129,-148,1,90
54,148_130,Cavity,130,-148,1,88
55,148_131,Cavity,131,-148,1,80
56,148_132,Cavity,132,-148,1,81
57,148_95,Cavity,95,-148,1,81
58,148_96,Cavity,96,-148,1,86
59,148_97,Connective tissue,97,-148,1,125
60,148_98,Connective tissue,98,-148,1,125
61,148_99,Connective tissue,99,-148,1,126
62,149_100,Connective tissue,100,-149,1,126
63,149_101,Mesenchyme,101,-149,1,126
64,149_102,Mesenchyme,102,-149,1,113
65,149_103,Mesenchyme,103,-149,1,106
66,149_104,Mesenchyme,104,-149,1,106
67,149_105,Mesenchyme,105,-149,1,106
68,149_106,Mesenchyme,106,-149,1,106
69,149_107,Mesenchyme,107,-149,1,106
70,149_108,Mesenchyme,108,-149,1,106
71,149_109,Mesenchyme,109,-149,1,111
72,149_110,Mesenchyme,110,-149,1,111
73,149_111,Dermomyotome,111,-149,1,106
74,149_112,Dermomyotome,112,-149,1,106
75,149_113,Dermomyotome,113,-149,1,114
76,149_114,Mesenchyme,114,-149,1,111
77,149_115,Mesenchyme,115,-149,1,111
78,149_116,Mesenchyme,116,-149,1,111
79,149_117,Mesenchyme,117,-149,1,111
80,149_118,Mesenchyme,118,-149,1,111
81,149_119,Mesenchyme,119,-149,1,111
82,149_120,Mesenchyme,120,-149,1,91
83,149_121,Mesenchyme,121,-149,1,111
84,149_122,Mesenchyme,122,-149,1,114
85,149_123,Cavity,123,-149,1,88
86,149_124,Mesenchyme,124,-149,1,111
87,149_125,Mesenchyme,125,-149,1,111
88,149_126,Mesenchyme,126,-149,1,111
89,149_127,Mesenchyme,127,-149,1,95
90,149_128,Mesenchyme,128,-149,1,111
91,149_129,Mesenchyme,129,-149,1,111
92,149_130,Mesenchyme,130,-149,1,111
93,149_131,Mesenchyme,131,-149,1,111
94,149_132,Mesenchyme,132,-149,1,111
95,149_133,Cavity,133,-149,1,90
96,149_134,Cavity,134,-149,1,80
97,149_94,Connective tissue,94,-149,1,125
98,149_95,Connective tissue,95,-149,1,126
99,149_96,Connective tissue,96,-149,1,126
100,149_97,Connective tissue,97,-149,1,126
101,149_98,Connective tissue,98,-149,1,126
102,149_99,Connective tissue,99,-149,1,126
103,150_100,Connective tissue,100,-150,1,114
104,150_101,Connective tissue,101,-150,1,114
105,150_102,Dermomyotome,102,-150,1,114
106,150_103,Dermomyotome,103,-150,1,112
107,150_104,Dermomyotome,104,-150,1,114
108,150_105,Dermomyotome,105,-150,1,114
109,150_106,Dermomyotome,106,-150,1,114
110,150_107,Dermomyotome,107,-150,1,114
111,150_108,Dermomyotome,108,-150,1,114
112,150_109,Dermomyotome,109,-150,1,114
113,150_110,Dermomyotome,110,-150,1,114
114,150_111,Dermomyotome,111,-150,1,114
115,150_112,Dermomyotome,112,-150,1,112
116,150_113,Dermomyotome,113,-150,1,114
117,150_114,Dermomyotome,114,-150,1,114
118,150_115,Dermomyotome,115,-150,1,114
119,150_116,Dermomyotome,116,-150,1,115
120,150_117,Dermomyotome,117,-150,1,114
121,150_118,Dermomyotome,118,-150,1,104
122,150_119,Dermomyotome,119,-150,1,104
123,150_120,Dermomyotome,120,-150,1,104
124,150_121,Dermomyotome,121,-150,1,114
125,150_122,Dermomyotome,122,-150,1,114
126,150_123,Mesenchyme,123,-150,1,125
127,150_124,Mesenchyme,124,-150,1,111
128,150_125,Mesenchyme,125,-150,1,111
129,150_126,Mesenchyme,126,-150,1,111
130,150_127,Mesenchyme,127,-150,1,111
131,150_128,Mesenchyme,128,-150,1,106
132,150_129,Mesenchyme,129,-150,1,111
133,150_130,Mesenchyme,130,-150,1,111
134,150_131,Mesenchyme,131,-150,1,111
135,150_132,Mesenchyme,132,-150,1,111
136,150_133,Mesenchyme,133,-150,1,111
137,150_134,Mesenchyme,134,-150,1,111
138,150_135,Cavity,135,-150,1,90
139,150_136,Cavity,136,-150,1,87
140,150_93,Connective tissue,93,-150,1,125
141,150_94,Connective tissue,94,-150,1,126
142,150_95,Connective tissue,95,-150,1,126
143,150_96,Connective tissue,96,-150,1,126
144,150_97,Connective tissue,97,-150,1,126
145,150_98,Connective tissue,98,-150,1,126
146,150_99,Connective tissue,99,-150,1,113
147,151_100,Dermomyotome,100,-151,1,114
148,151_101,Dermomyotome,101,-151,1,112
149,151_102,Dermomyotome,102,-151,1,114
150,151_103,Dermomyotome,103,-151,1,114
151,151_104,Dermomyotome,104,-151,1,114
152,151_105,Dermomyotome,105,-151,1,114
153,151_106,Dermomyotome,106,-151,1,114
154,151_107,Dermomyotome,107,-151,1,114
155,151_108,Dermomyotome,108,-151,1,114
156,151_109,Dermomyotome,109,-151,1,104
157,151_110,Cavity,110,-151,1,89
158,151_111,Cavity,111,-151,1,83
159,151_112,Cavity,112,-151,1,83
160,151_113,Cavity,113,-151,1,82
161,151_114,Cavity,114,-151,1,86
162,151_115,Dermomyotome,115,-151,1,114
163,151_116,Dermomyotome,116,-151,1,114
164,151_117,Dermomyotome,117,-151,1,114
165,151_118,Dermomyotome,118,-151,1,114
166,151_119,Dermomyotome,119,-151,1,114
167,151_120,Dermomyotome,120,-151,1,114
168,151_121,Dermomyotome,121,-151,1,114
169,151_122,Dermomyotome,122,-151,1,114
170,151_123,Dermomyotome,123,-151,1,115
171,151_124,Dermomyotome,124,-151,1,104
172,151_125,Dermomyotome,125,-151,1,114
173,151_126,Dermomyotome,126,-151,1,115
174,151_127,Mesenchyme,127,-151,1,114
175,151_128,Mesenchyme,128,-151,1,111
176,151_129,Mesenchyme,129,-151,1,111
177,151_130,Mesenchyme,130,-151,1,111
178,151_131,Mesenchyme,131,-151,1,111
179,151_132,Mesenchyme,132,-151,1,111
180,151_133,Mesenchyme,133,-151,1,111
181,151_134,Mesenchyme,134,-151,1,111
182,151_135,Mesenchyme,135,-151,1,111
183,151_136,Mesenchyme,136,-151,1,111
184,151_137,Mesenchyme,137,-151,1,111
185,151_138,Cavity,138,-151,1,88
186,151_91,Connective tissue,91,-151,1,125
187,151_92,Connective tissue,92,-151,1,125
188,151_93,Connective tissue,93,-151,1,125
189,151_94,Connective tissue,94,-151,1,126
190,151_95,Connective tissue,95,-151,1,126
191,151_96,Connective tissue,96,-151,1,126
192,151_97,Connective tissue,97,-151,1,112
193,151_98,Dermomyotome,98,-151,1,114
194,151_99,Dermomyotome,99,-151,1,113
195,152_100,Dermomyotome,100,-152,1,114
196,152_101,Dermomyotome,101,-152,1,114
197,152_102,Dermomyotome,102,-152,1,114
198,152_103,Dermomyotome,103,-152,1,114
199,152_104,Dermomyotome,104,-152,1,114
200,152_105,Dermomyotome,105,-152,1,114
201,152_106,Dermomyotome,106,-152,1,114
202,152_107,Dermomyotome,107,-152,1,115
203,152_108,Dermomyotome,108,-152,1,114
204,152_109,Cavity,109,-152,1,85
205,152_110,Cavity,110,-152,1,83
206,152_114,Cavity,114,-152,1,83
207,152_115,Dermomyotome,115,-152,1,114
208,152_116,Dermomyotome,116,-152,1,114
209,152_117,Dermomyotome,117,-152,1,114
210,152_118,Dermomyotome,118,-152,1,114
211,152_119,Dermomyotome,119,-152,1,114
212,152_120,Dermomyotome,120,-152,1,114
213,152_121,Dermomyotome,121,-152,1,114
214,152_122,Dermomyotome,122,-152,1,104
215,152_123,Cavity,123,-152,1,89
216,152_124,Dermomyotome,124,-152,1,114
217,152_125,Dermomyotome,125,-152,1,104
218,152_126,Dermomyotome,126,-152,1,115
219,152_127,Dermomyotome,127,-152,1,105
220,152_128,Dermomyotome,128,-152,1,104
221,152_129,Mesenchyme,129,-152,1,104
222,152_130,Mesenchyme,130,-152,1,104
223,152_131,Mesenchyme,131,-152,1,111
224,152_132,Mesenchyme,132,-152,1,111
225,152_133,Mesenchyme,133,-152,1,111
226,152_134,Mesenchyme,134,-152,1,111
227,152_135,Mesenchyme,135,-152,1,111
228,152_136,Mesenchyme,136,-152,1,111
229,152_137,Mesenchyme,137,-152,1,111
230,152_138,Mesenchyme,138,-152,1,111
231,152_139,Mesenchyme,139,-152,1,111
232,152_140,Mesenchyme,140,-152,1,91
233,152_141,Cavity,141,-152,1,80
234,152_89,Cavity,89,-152,1,82
235,152_90,Connective tissue,90,-152,1,124
236,152_91,Connective tissue,91,-152,1,125
237,152_92,Connective tissue,92,-152,1,126
238,152_93,Connective tissue,93,-152,1,126
239,152_94,Connective tissue,94,-152,1,113
240,152_95,Connective tissue,95,-152,1,113
241,152_96,Connective tissue,96,-152,1,114
242,152_97,Dermomyotome,97,-152,1,114
243,152_98,Dermomyotome,98,-152,1,114
244,152_99,Dermomyotome,99,-152,1,114
245,153_100,Dermomyotome,100,-153,1,114
246,153_101,Dermomyotome,101,-153,1,114
247,153_102,Dermomyotome,102,-153,1,114
248,153_103,Dermomyotome,103,-153,1,114
249,153_104,Dermomyotome,104,-153,1,114
250,153_105,Dermomyotome,105,-153,1,114
251,153_106,Dermomyotome,106,-153,1,114
252,153_107,Dermomyotome,107,-153,1,114
253,153_108,Dermomyotome,108,-153,1,115
254,153_109,Cavity,109,-153,1,85
255,153_115,Cavity,115,-153,1,114
256,153_116,Dermomyotome,116,-153,1,114
257,153_117,Dermomyotome,117,-153,1,114
258,153_118,Dermomyotome,118,-153,1,114
259,153_119,Dermomyotome,119,-153,1,114
260,153_120,Dermomyotome,120,-153,1,114
261,153_121,Dermomyotome,121,-153,1,114
262,153_122,Dermomyotome,122,-153,1,114
263,153_123,Cavity,123,-153,1,86
264,153_124,Dermomyotome,124,-153,1,114
265,153_125,Dermomyotome,125,-153,1,114
266,153_126,Dermomyotome,126,-153,1,114
267,153_127,Dermomyotome,127,-153,1,114
268,153_128,Dermomyotome,128,-153,1,104
269,153_129,Dermomyotome,129,-153,1,114
270,153_130,Dermomyotome,130,-153,1,114
271,153_131,Dermomyotome,131,-153,1,104
272,153_132,Dermomyotome,132,-153,1,104
273,153_133,Mesenchyme,133,-153,1,106
274,153_134,Mesenchyme,134,-153,1,111
275,153_135,Mesenchyme,135,-153,1,104
276,153_136,Mesenchyme,136,-153,1,95
277,153_137,Mesenchyme,137,-153,1,111
278,153_138,Mesenchyme,138,-153,1,111
279,153_139,Mesenchyme,139,-153,1,111
280,153_140,Mesenchyme,140,-153,1,111
281,153_141,Mesenchyme,141,-153,1,111
282,153_142,Cavity,142,-153,1,42
283,153_89,Connective tissue,89,-153,1,125
284,153_90,Connective tissue,90,-153,1,124
285,153_91,Connective tissue,91,-153,1,126
286,153_92,Cavity,92,-153,1,126
287,153_93,Connective tissue,93,-153,1,113
288,153_94,Dermomyotome,94,-153,1,114
289,153_95,Dermomyotome,95,-153,1,114
290,153_96,Dermomyotome,96,-153,1,114
291,153_97,Dermomyotome,97,-153,1,114
292,153_98,Dermomyotome,98,-153,1,114
293,153_99,Dermomyotome,99,-153,1,114
294,154_100,Dermomyotome,100,-154,1,114
295,154_101,Dermomyotome,101,-154,1,114
296,154_102,Dermomyotome,102,-154,1,114
297,154_103,Dermomyotome,103,-154,1,114
298,154_104,Dermomyotome,104,-154,1,112
299,154_105,Dermomyotome,105,-154,1,114
300,154_106,AGM,106,-154,1,117
301,154_107,Dermomyotome,107,-154,1,114
302,154_108,Dermomyotome,108,-154,1,112
303,154_109,Cavity,109,-154,1,85
304,154_115,Cavity,115,-154,1,89
305,154_116,Dermomyotome,116,-154,1,113
306,154_117,AGM,117,-154,1,114
307,154_118,Dermomyotome,118,-154,1,114
308,154_119,Dermomyotome,119,-154,1,114
309,154_120,Dermomyotome,120,-154,1,114
310,154_121,Dermomyotome,121,-154,1,115
311,154_122,Dermomyotome,122,-154,1,114
312,154_123,Cavity,123,-154,1,82
313,154_124,Cavity,124,-154,1,89
314,154_125,Dermomyotome,125,-154,1,115
315,154_126,Dermomyotome,126,-154,1,114
316,154_127,Dermomyotome,127,-154,1,115
317,154_128,Dermomyotome,128,-154,1,115
318,154_129,Dermomyotome,129,-154,1,115
319,154_130,Dermomyotome,130,-154,1,115
320,154_131,Dermomyotome,131,-154,1,115
321,154_132,Dermomyotome,132,-154,1,117
322,154_133,Dermomyotome,133,-154,1,104
323,154_134,Dermomyotome,134,-154,1,104
324,154_135,Dermomyotome,135,-154,1,104
325,154_136,Mesenchyme,136,-154,1,111
326,154_137,Mesenchyme,137,-154,1,111
327,154_138,Mesenchyme,138,-154,1,111
328,154_139,Mesenchyme,139,-154,1,111
329,154_140,Mesenchyme,140,-154,1,95
330,154_141,Mesenchyme,141,-154,1,111
331,154_142,Mesenchyme,142,-154,1,111
332,154_143,Mesenchyme,143,-154,1,111
333,154_144,Cavity,144,-154,1,90
334,154_87,Cavity,87,-154,1,84
335,154_88,Connective tissue,88,-154,1,125
336,154_89,Connective tissue,89,-154,1,126
337,154_90,Connective tissue,90,-154,1,126
338,154_91,Connective tissue,91,-154,1,126
339,154_92,Cavity,92,-154,1,84
340,154_93,Cavity,93,-154,1,88
341,154_94,Dermomyotome,94,-154,1,114
342,154_95,Dermomyotome,95,-154,1,114
343,154_96,Dermomyotome,96,-154,1,114
344,154_97,Dermomyotome,97,-154,1,113
345,154_98,Dermomyotome,98,-154,1,114
346,154_99,Dermomyotome,99,-154,1,114
347,155_100,Dermomyotome,100,-155,1,114
348,155_101,AGM,101,-155,1,114
349,155_102,AGM,102,-155,1,112
350,155_103,AGM,103,-155,1,114
351,155_104,AGM,104,-155,1,113
352,155_105,AGM,105,-155,1,114
353,155_106,AGM,106,-155,1,117
354,155_107,AGM,107,-155,1,114
355,155_108,AGM,108,-155,1,114
356,155_109,Cavity,109,-155,1,88
357,155_115,Dermomyotome,115,-155,1,113
358,155_116,AGM,116,-155,1,114
359,155_117,AGM,117,-155,1,118
360,155_118,AGM,118,-155,1,115
361,155_119,AGM,119,-155,1,117
362,155_120,AGM,120,-155,1,115
363,155_121,Dermomyotome,121,-155,1,115
364,155_122,Dermomyotome,122,-155,1,115
365,155_123,Cavity,123,-155,1,89
366,155_124,Dermomyotome,124,-155,1,104
367,155_125,Dermomyotome,125,-155,1,115
368,155_126,Dermomyotome,126,-155,1,104
369,155_127,Dermomyotome,127,-155,1,115
370,155_128,Dermomyotome,128,-155,1,114
371,155_129,Dermomyotome,129,-155,1,115
372,155_130,Dermomyotome,130,-155,1,115
373,155_131,Dermomyotome,131,-155,1,104
374,155_132,Dermomyotome,132,-155,1,97
375,155_133,Dermomyotome,133,-155,1,115
376,155_134,Dermomyotome,134,-155,1,97
377,155_135,Dermomyotome,135,-155,1,114
378,155_136,Dermomyotome,136,-155,1,114
379,155_137,Dermomyotome,137,-155,1,104
380,155_138,Mesenchyme,138,-155,1,111
381,155_139,Mesenchyme,139,-155,1,111
382,155_140,Mesenchyme,140,-155,1,111
383,155_141,Mesenchyme,141,-155,1,111
384,155_142,Mesenchyme,142,-155,1,111
385,155_143,Mesenchyme,143,-155,1,110
386,155_144,Mesenchyme,144,-155,1,111
387,155_145,Cavity,145,-155,1,90
388,155_86,Cavity,86,-155,1,84
389,155_87,Connective tissue,87,-155,1,124
390,155_88,Connective tissue,88,-155,1,126
391,155_89,Connective tissue,89,-155,1,126
392,155_90,Connective tissue,90,-155,1,113
393,155_91,Dermomyotome,91,-155,1,114
394,155_92,Mesenchyme,92,-155,1,113
395,155_93,Dermomyotome,93,-155,1,112
396,155_94,Dermomyotome,94,-155,1,112
397,155_95,Dermomyotome,95,-155,1,114
398,155_96,Dermomyotome,96,-155,1,114
399,155_97,Dermomyotome,97,-155,1,114
400,155_98,Dermomyotome,98,-155,1,114
401,155_99,Dermomyotome,99,-155,1,114
402,156_100,AGM,100,-156,1,114
403,156_101,AGM,101,-156,1,114
404,156_102,AGM,102,-156,1,114
405,156_103,AGM,103,-156,1,116
406,156_104,AGM,104,-156,1,112
407,156_105,AGM,105,-156,1,113
408,156_106,AGM,106,-156,1,117
409,156_107,AGM,107,-156,1,112
410,156_108,AGM,108,-156,1,117
411,156_109,AGM,109,-156,1,118
412,156_110,Cavity,110,-156,1,83
413,156_114,Cavity,114,-156,1,85
414,156_115,AGM,115,-156,1,118
415,156_116,AGM,116,-156,1,118
416,156_117,AGM,117,-156,1,97
417,156_118,AGM,118,-156,1,118
418,156_119,AGM,119,-156,1,118
419,156_120,AGM,120,-156,1,118
420,156_121,AGM,121,-156,1,118
421,156_122,AGM,122,-156,1,117
422,156_123,Cavity,123,-156,1,115
423,156_124,Dermomyotome,124,-156,1,105
424,156_125,Dermomyotome,125,-156,1,115
425,156_126,Dermomyotome,126,-156,1,104
426,156_127,Dermomyotome,127,-156,1,104
427,156_128,Dermomyotome,128,-156,1,115
428,156_129,Dermomyotome,129,-156,1,104
429,156_130,Dermomyotome,130,-156,1,118
430,156_131,Dermomyotome,131,-156,1,104
431,156_132,Dermomyotome,132,-156,1,104
432,156_133,Dermomyotome,133,-156,1,115
433,156_134,Dermomyotome,134,-156,1,105
434,156_135,Dermomyotome,135,-156,1,104
435,156_136,Dermomyotome,136,-156,1,104
436,156_137,Dermomyotome,137,-156,1,104
437,156_138,Dermomyotome,138,-156,1,105
438,156_139,Mesenchyme,139,-156,1,111
439,156_140,Mesenchyme,140,-156,1,111
440,156_141,Mesenchyme,141,-156,1,111
441,156_142,Mesenchyme,142,-156,1,111
442,156_143,Mesenchyme,143,-156,1,111
443,156_144,Mesenchyme,144,-156,1,108
444,156_145,Mesenchyme,145,-156,1,111
445,156_146,Mesenchyme,146,-156,1,111
446,156_147,Cavity,147,-156,1,81
447,156_85,Cavity,85,-156,1,84
448,156_86,Connective tissue,86,-156,1,126
449,156_87,Connective tissue,87,-156,1,126
450,156_88,Connective tissue,88,-156,1,126
451,156_89,Connective tissue,89,-156,1,113
452,156_90,Connective tissue,90,-156,1,113
453,156_91,Dermomyotome,91,-156,1,112
454,156_92,Dermomyotome,92,-156,1,114
455,156_93,Dermomyotome,93,-156,1,112
456,156_94,Dermomyotome,94,-156,1,114
457,156_95,Dermomyotome,95,-156,1,114
458,156_96,Dermomyotome,96,-156,1,114
459,156_97,Dermomyotome,97,-156,1,112
460,156_98,Dermomyotome,98,-156,1,112
461,156_99,Dermomyotome,99,-156,1,115
462,157_100,AGM,100,-157,1,117
463,157_101,AGM,101,-157,1,117
464,157_102,AGM,102,-157,1,117
465,157_103,AGM,103,-157,1,117
466,157_104,AGM,104,-157,1,117
467,157_105,AGM,105,-157,1,116
468,157_106,AGM,106,-157,1,99
469,157_107,AGM,107,-157,1,116
470,157_108,AGM,108,-157,1,117
471,157_109,AGM,109,-157,1,116
472,157_110,Cavity,110,-157,1,82
473,157_114,Cavity,114,-157,1,82
474,157_115,AGM,115,-157,1,118
475,157_116,Liver,116,-157,1,118
476,157_117,Liver,117,-157,1,118
477,157_118,AGM,118,-157,1,118
478,157_119,AGM,119,-157,1,117
479,157_120,AGM,120,-157,1,117
480,157_121,AGM,121,-157,1,118
481,157_122,AGM,122,-157,1,117
482,157_123,AGM,123,-157,1,89
483,157_124,AGM,124,-157,1,97
484,157_125,AGM,125,-157,1,115
485,157_126,AGM,126,-157,1,118
486,157_127,Dermomyotome,127,-157,1,105
487,157_128,Dermomyotome,128,-157,1,115
488,157_129,Dermomyotome,129,-157,1,105
489,157_130,Dermomyotome,130,-157,1,115
490,157_131,Dermomyotome,131,-157,1,115
491,157_132,Dermomyotome,132,-157,1,114
492,157_133,Dermomyotome,133,-157,1,105
493,157_134,Dermomyotome,134,-157,1,104
494,157_135,Dermomyotome,135,-157,1,104
495,157_136,Dermomyotome,136,-157,1,97
496,157_137,Dermomyotome,137,-157,1,104
497,157_138,Dermomyotome,138,-157,1,104
498,157_139,Dermomyotome,139,-157,1,104
499,157_140,Mesenchyme,140,-157,1,106
500,157_141,Mesenchyme,141,-157,1,111
501,157_142,Mesenchyme,142,-157,1,108
502,157_143,Mesenchyme,143,-157,1,111
503,157_144,Mesenchyme,144,-157,1,111
504,157_145,Mesenchyme,145,-157,1,111
505,157_146,Mesenchyme,146,-157,1,111
506,157_147,Mesenchyme,147,-157,1,108
507,157_148,Cavity,148,-157,1,80
508,157_84,Cavity,84,-157,1,84
509,157_85,Connective tissue,85,-157,1,124
510,157_86,Connective tissue,86,-157,1,126
511,157_87,Connective tissue,87,-157,1,126
512,157_88,Connective tissue,88,-157,1,113
513,157_89,Connective tissue,89,-157,1,113
514,157_90,Connective tissue,90,-157,1,114
515,157_91,Dermomyotome,91,-157,1,114
516,157_92,Dermomyotome,92,-157,1,112
517,157_93,Dermomyotome,93,-157,1,114
518,157_94,Dermomyotome,94,-157,1,112
519,157_95,Dermomyotome,95,-157,1,112
520,157_96,Dermomyotome,96,-157,1,114
521,157_97,AGM,97,-157,1,114
522,157_98,AGM,98,-157,1,112
523,157_99,AGM,99,-157,1,117
524,158_100,AGM,100,-158,1,116
525,158_101,AGM,101,-158,1,116
526,158_102,AGM,102,-158,1,118
527,158_103,AGM,103,-158,1,116
528,158_104,AGM,104,-158,1,117
529,158_105,AGM,105,-158,1,116
530,158_106,AGM,106,-158,1,117
531,158_107,AGM,107,-158,1,117
532,158_108,AGM,108,-158,1,117
533,158_109,AGM,109,-158,1,116
534,158_110,Cavity,110,-158,1,87
535,158_111,Cavity,111,-158,1,82
536,158_113,Cavity,113,-158,1,85
537,158_114,AGM,114,-158,1,91
538,158_115,AGM,115,-158,1,119
539,158_116,AGM,116,-158,1,117
540,158_117,AGM,117,-158,1,117
541,158_118,AGM,118,-158,1,118
542,158_119,AGM,119,-158,1,117
543,158_120,AGM,120,-158,1,118
544,158_121,AGM,121,-158,1,118
545,158_122,AGM,122,-158,1,118
546,158_123,AGM,123,-158,1,79
547,158_124,AGM,124,-158,1,119
548,158_125,AGM,125,-158,1,119
549,158_126,Sclerotome,126,-158,1,118
550,158_127,Sclerotome,127,-158,1,105
551,158_128,Dermomyotome,128,-158,1,104
552,158_129,AGM,129,-158,1,115
553,158_130,Dermomyotome,130,-158,1,118
554,158_131,AGM,131,-158,1,118
555,158_132,Dermomyotome,132,-158,1,105
556,158_133,Sclerotome,133,-158,1,97
557,158_134,Sclerotome,134,-158,1,97
558,158_135,Sclerotome,135,-158,1,97
559,158_136,Dermomyotome,136,-158,1,105
560,158_137,Dermomyotome,137,-158,1,105
561,158_138,Dermomyotome,138,-158,1,104
562,158_139,Dermomyotome,139,-158,1,115
563,158_140,Dermomyotome,140,-158,1,104
564,158_141,Mesenchyme,141,-158,1,108
565,158_142,Mesenchyme,142,-158,1,108
566,158_143,Mesenchyme,143,-158,1,108
567,158_144,Mesenchyme,144,-158,1,108
568,158_145,Mesenchyme,145,-158,1,111
569,158_146,Mesenchyme,146,-158,1,126
570,158_147,Mesenchyme,147,-158,1,108
571,158_148,Mesenchyme,148,-158,1,91
572,158_83,Cavity,83,-158,1,86
573,158_84,Connective tissue,84,-158,1,124
574,158_85,Connective tissue,85,-158,1,124
575,158_86,Connective tissue,86,-158,1,113
576,158_87,Dermomyotome,87,-158,1,113
577,158_88,Dermomyotome,88,-158,1,112
578,158_89,Connective tissue,89,-158,1,113
579,158_90,Connective tissue,90,-158,1,112
580,158_91,Dermomyotome,91,-158,1,112
581,158_92,Dermomyotome,92,-158,1,112
582,158_93,Dermomyotome,93,-158,1,112
583,158_94,AGM,94,-158,1,112
584,158_95,AGM,95,-158,1,116
585,158_96,AGM,96,-158,1,116
586,158_97,AGM,97,-158,1,116
587,158_98,AGM,98,-158,1,114
588,158_99,AGM,99,-158,1,114
589,159_100,AGM,100,-159,1,116
590,159_101,AGM,101,-159,1,116
591,159_102,AGM,102,-159,1,116
592,159_103,AGM,103,-159,1,121
593,159_104,AGM,104,-159,1,123
594,159_105,AGM,105,-159,1,116
595,159_106,AGM,106,-159,1,116
596,159_107,AGM,107,-159,1,121
597,159_108,AGM,108,-159,1,121
598,159_109,AGM,109,-159,1,123
599,159_110,AGM,110,-159,1,123
600,159_111,AGM,111,-159,1,123
601,159_112,Cavity,112,-159,1,78
602,159_113,Cavity,113,-159,1,123
603,159_114,AGM,114,-159,1,123
604,159_115,AGM,115,-159,1,116
605,159_116,AGM,116,-159,1,117
606,159_117,AGM,117,-159,1,118
607,159_118,AGM,118,-159,1,117
608,159_119,AGM,119,-159,1,118
609,159_120,AGM,120,-159,1,118
610,159_121,AGM,121,-159,1,118
611,159_122,AGM,122,-159,1,118
612,159_123,Cavity,123,-159,1,78
613,159_124,AGM,124,-159,1,123
614,159_125,AGM,125,-159,1,119
615,159_126,AGM,126,-159,1,119
616,159_127,AGM,127,-159,1,118
617,159_128,AGM,128,-159,1,115
618,159_129,AGM,129,-159,1,115
619,159_130,AGM,130,-159,1,104
620,159_131,Sclerotome,131,-159,1,97
621,159_132,Sclerotome,132,-159,1,97
622,159_133,Sclerotome,133,-159,1,97
623,159_134,Sclerotome,134,-159,1,97
624,159_135,Sclerotome,135,-159,1,118
625,159_136,Sclerotome,136,-159,1,97
626,159_137,Dermomyotome,137,-159,1,105
627,159_138,Dermomyotome,138,-159,1,105
628,159_139,Dermomyotome,139,-159,1,105
629,159_140,Dermomyotome,140,-159,1,115
630,159_141,Dermomyotome,141,-159,1,104
631,159_142,Mesenchyme,142,-159,1,108
632,159_143,Mesenchyme,143,-159,1,111
633,159_144,Mesenchyme,144,-159,1,108
634,159_145,Mesenchyme,145,-159,1,108
635,159_146,Mesenchyme,146,-159,1,108
636,159_147,Mesenchyme,147,-159,1,111
637,159_148,Mesenchyme,148,-159,1,111
638,159_149,Cavity,149,-159,1,87
