cell_type,cluster_id,cell_num,x,y,distance_to_target,compactness
AGM,single_cluster,361,124.0,167.4,4.4,16.2
AGM,target,45,125.9,163.4,0.0,0.0
Brain,single_cluster,1,137.0,168.0,12.1,0.0
Branchial arch,single_cluster,3,130.3,180.0,17.2,1.55
Cavity,single_cluster,122,119.3,167.6,7.8,17.99
Connective tissue,single_cluster,64,109.5,165.6,16.6,7.08
Dermomyotome,single_cluster,162,127.2,155.0,8.5,12.53
Heart,single_cluster,104,121.1,177.6,15.0,7.01
Liver,single_cluster,48,126.1,170.1,6.7,7.17
Mesenchyme,single_cluster,46,127.2,150.7,12.8,8.0
Neural crest,single_cluster,27,139.2,183.0,23.7,3.12
Sclerotome,single_cluster,145,139.0,167.2,13.7,8.75
