cell_type,cluster_id,cell_num,x,y,distance_to_target,compactness
AGM,target,31,107.5,160.0,0.0,0.0
Brain,single_cluster,1,137.0,168.0,30.6,0.0
Cavity,single_cluster,130,107.3,163.8,3.9,13.57
Connective tissue,single_cluster,267,97.0,161.8,10.6,12.56
Dermomyotome,single_cluster,174,110.0,153.7,6.7,15.88
Heart,single_cluster,21,114.4,172.8,14.6,3.52
Liver,single_cluster,88,124.1,169.5,19.2,6.08
Mesenchyme,single_cluster,32,104.2,151.1,9.5,10.29
Sclerotome,single_cluster,52,134.2,161.8,26.8,4.38
