邻居细胞,发送通道数,接收通道数,总通道数,发送总强度,接收总强度,通讯总强度,发送平均强度,接收平均强度,总平均强度,细胞接收平均强度,细胞发送平均强度
Notochord,29,20,49,14.872,11.720999999999998,26.592999999999996,0.5128275862068965,0.58605,0.5427142857142856,0.33488571428571423,0.4249142857142857
Heart,24,17,41,12.595,11.408000000000001,24.003,0.5247916666666667,0.6710588235294118,0.5854390243902439,0.3259428571428572,0.3598571428571429
Connective tissue,7,17,24,2.5650000000000004,11.885,14.45,0.3664285714285715,0.6991176470588235,0.6020833333333333,0.3395714285714286,0.0732857142857143
Branchial arch,14,5,19,4.835000000000001,3.709,8.544,0.3453571428571429,0.7418,0.4496842105263158,0.10597142857142858,0.13814285714285718
Sclerotome,9,11,20,3.154,4.167,7.321,0.35044444444444445,0.3788181818181818,0.36605,0.11905714285714285,0.09011428571428572
Liver,6,5,11,4.243,2.455,6.698,0.7071666666666667,0.491,0.608909090909091,0.07014285714285715,0.12122857142857144
Dermomyotome,4,11,15,1.283,4.877,6.16,0.32075,0.44336363636363635,0.4106666666666667,0.13934285714285713,0.03665714285714285
Brain,7,1,8,3.061,0.584,3.645,0.4372857142857143,0.584,0.455625,0.016685714285714286,0.08745714285714286
Neural crest,6,2,8,2.082,0.837,2.9189999999999996,0.347,0.4185,0.36487499999999995,0.023914285714285714,0.05948571428571428
Mesenchyme,2,2,4,0.909,1.47,2.379,0.4545,0.735,0.59475,0.042,0.025971428571428572
AGM,5,1,6,1.806,0.54,2.346,0.3612,0.54,0.391,0.01542857142857143,0.0516
Cavity_1_22_Target,1,0,1,0.2,0.0,0.2,0.2,0.0,0.2,0.0,0.005714285714285714
